traitID,traitClass,traitType,traitName,StdUnit,type_of_value,MaxAllowedValue,MinAllowedValue,factorLevels,Definition
1,morphology,body_size,body_length,[cm],numerical,,,,
2,behaviour,dispersal_range,dispersal,,numerical,,,,
3,behaviour,habitat,stratum_use,,categorical,,,,
4,life-history,voltinism,generations_per_year,,numerical,,,,
5,feeding,specialisation,feeding_specialisation,,categorical,,,,
6,feeding,feeding_guild,feeding_guild,,categorical,,,herbivore; detritivore; fungivore; predator; parasite; hyperparasite ,
7,pollination,flower_specialisation,flower_specialisation,,categorical,,,,
8,life-history,maturation,age_at_maturity,,numerical,,,,
9,environment,habitat,preferred_habitat,,categorical,,,,
10,environment,temperature,preferred_temperature,,categorical,,,,
11,life-history,lifespan,max_lifespan,,numerical,,,,
12,life-history,lifespan,average_lifespan,[d],numerical,,,,
13,physiology,metabolic_rate,respiration,,numerical,,,,
14,behaviour,wing_type,wing_type,,categorical,,,macropter; submacropter; brachypter; hyopter; parapter; apter,
15,behaviour,locomotion_speed,speed,,numerical,,,,
16,behaviour,habitat_specialisation,distribution_range,,categorical,,,,
17,behaviour,habitat,habitat_requirement,,categorical,,,,
18,behaviour,sociality,eusocial,,categorical,,,,
19,behaviour,dispersal_mode,dispersal_range,,categorical,,,,
20,behaviour,mobility_range,mobility_tange,,numerical,,,,
21,behaviour,habitat,habitat_specialisation,,categorical,,,,
22,behaviour,habitat,forest_species,,boolean,,,,number of eggs in a clutch
23,behaviour,habitat,grassland_species,,boolean,,,,
24,behaviour,geographic_range,grid_coverage,,numerical,,,,Number of grid geographic grid cells where the species is found
25,behaviour,flight_ability,flight_ability,,boolean,,,,
26,behaviour,dispersal_mode,dispersal_mode,,categorical,,,,
27,behaviour,dispersal_mode,dispersal_ability,,categorical,,,0;0.25;0.5;0.75;1,
28,behaviour,habitat,micro_habitat,,categorical,,,,
29,behaviour,dispersal_mode,passive_dispersal,,boolean,,,,
30,behaviour,colony_mode,colony_founding,,categorical,,,independent; dependent,
31,behaviour,aggregation,clustering,,categorical,,,,
32,behaviour,activity_time,phenology,list of months,character,,,,semicolon separated months
33,behaviour,activity_time,activity_period,,character,,,, months from -- to
34,behaviour,activity_time,length_of_activity_period,[months],integer,,,,number of months of activity period
35,behaviour,activity_time,first_emergence,[date],integer,,,,first emergence in the year (month)
36,behaviour,activity_time,last_observation,[date],integer,,,,last observation in the year (month)
37,behaviour,activity_time,flight_period,month,character,,,,
38,environment,substrate,substrate,,categorical,,,,
39,environment,oxygen,oxygen_requirement,,numerical,,,,Required oxygen level in water
40,environment,light,light_requirement,,categorical,,,,
41,environment,landuse,landuse_intensity,,numerical,,,,
42,environment,humidity,humidity,,categorical,,,,
43,environment,habitat,ecology_type,,categorical,,,,??
44,environment,habitat,nature_orientation,,categorical,,,,??
45,environment,habitat,special_habitat,,categorical,,,,??
46,environment,habitat,climatic_range,,numerical,,,,number of climatic zones where the species occurs
47,environment,habitat,substrate_guild,,categorical,,,,
48,environment,biotope,biotope,,categorical,,,,
49,environment,altitude,altitude,,categorical,,,,
50,feeding,stoichiometry,stable_isotope_N, [delta per mill],numerical,,,,
51,feeding,specialisation,number_resources,,integer,,,,Number of resource species
52,feeding,specialisation,host_specialisation,,categorical,,,,
53,feeding,specialisation,pflanzenbindung,,categorical,,,,
54,feeding,specialisation,plants,,categorical,,,,
55,feeding,specialisation,Beutebindung,,categorical,,,,
56,feeding,mouthpart_size,tongue_length,mm,numerical,,,,
57,feeding,larval_specialisation,larval_feeding_breadth,,categorical,,,,
58,feeding,feeding_mode,hunting_mode,,categorical,,,net building; foraging; grazing,
59,feeding,feeding_mode,feeding_mode,,categorical,,,extraintestinal; sucking; chewing,
60,feeding,feeding_guild,food_source,,categorical,,,,
61,feeding,feeding_guild,diet,,character,,,,
62,feeding,feeding_guild,trophic_level,,numerical,,,,
63,morphology,body_size,pronotum_lw_ratio,mm,numerical,,,,
70,morphology,body_size,pronotum_length,mm,numerical,,,,
64,life-history,sociality,social_structure,,categorical,,,,single or more queens
65,life-history,reproduction_mode,reproductive_mode,,categorical,,,,
66,life-history,parity,generation_time,d,numerical,,,,
67,life-history,ontogeny,nr_developmental_stages,,numerical,,,,
68,life-history,ontogeny,mode_of_developmental_stages,,categorical,,,,
69,life-history,ontogeny,egg_development_time,,categorical,,,,
71,life-history,nesting_habitat,nest_habitat_specialisation,,categorical,,,,
72,life-history,hibernation_mode,hibernation,,categorical,,,,
73,life-history,egg_size,egg_length,mm,numerical,,,,
83,life-history,egg_size,egg_width,mm,numerical,,,,
74,life-history,egg_size,egg_volume,mm3,numerical,,,,
75,life-history,egg_size,egg_weight,mg,numerical,,,,
76,life-history,egg_size,egg_biomass,mg,categorical,,,,
77,life-history,egg_placement,Egg_placement,,categorical,,,,where eggs are placed (e.g. on the ground or  at vegetation)
78,life-history,clutch_size,clutch_size,,numerical,,,,
79,life-history,clutch_size,nr_Ovariols,,numerical,,,,
80,life-history,clutch_size,nr_eggs_per_clutch,,numerical,,,,
81,life-history,reproduction_rate,number_eggs_per_year,,numerical,,,,
82,morphology,wing_type,wing_dimorphism,,categorical,,,,
84,morphology,wing_size,elytra length,mm,numerical,,,,
85,morphology,wing_size,wing_area,mm2,numerical,,,,
86,morphology,wing_size,wing_length,mm,numerical,,,,
87,morphology,wing_size,wing_width,,numerical,,,,
88,morphology,wing_size,wing_appearance,,categorical,,,,
152,morphology,wing_size,hind_wing_length,cm,numerical,,,,
153,morphology,wing_size,hind_wing_width,cm,numerical,,,,
89,morphology,wing_size,front_wing_length,cm,numerical,,,,
90,morphology,wing_size,front_wing_width,cm,numerical,,,,
91,morphology,wing_size,wing_span,mm,numerical,,,,
92,morphology,thorax_size,thorax_length,mm,numerical,,,,
93,morphology,thorax_size,thorax_width,mm,numerical,,,,
94,morphology,mouthpart_size,rostrum_length,,numerical,,,,
95,morphology,mouthpart_size,rostrum_width,,numerical,,,,
96,morphology,mouthpart_size,rostrum_lw_ratio,,numerical,,,,
97,morphology,leg_size,femur_length,[cm],numerical,,,,
98,morphology,leg_size,front_tibia_length,[cm],numerical,,,,
99,morphology,leg_size,hind_leg_length,[cm],numerical,,,,
100,morphology,leg_size,front_leg_length,,numerical,,,,
101,morphology,leg_size,relative_leg_length,,numerical,,,,
102,morphology,leg_size,front_femur_length,[cm],numerical,,,,
