measurementTypeID,traitCategory,measurementType,measurementUnit,measurementValueType,measurementValueMin,measurementValueMax,factorLevels,measurementTypeDescription,Comments,Identifier,Replaces,Version,DateIssued,DateModified,Refines
1,morphology,body_length,mm,numeric,,,,,,,,,,,
2,behaviour,dispersal,m,numeric,,,,,,,,,,,
3,behaviour,stratum_use,,factor,,,,,,,,,,,
4,life-history,generations_per_year,,numeric,,,,,,,,,,,
5,feeding,feeding_specialisation,,factor,,,,,,,,,,,
6,feeding,feeding_guild,,factor,,,herbivore; detritivore; fungivore; predator; parasite; hyperparasite ,,,,,,,,
7,pollination,flower_specialisation,,factor,,,,,,,,,,,
8,life-history,age_at_maturity,y,numeric,,,,,,,,,,,
9,environment,preferred_habitat,,factor,,,,,,,,,,,
10,environment,preferred_temperature,,factor,,,,,,,,,,,
11,life-history,max_lifespan,y,numeric,,,,,,,,,,,
12,life-history,average_lifespan,y,numeric,,,,,,,,,,,
13,physiology,respiration,mg/y,numeric,,,,,,,,,,,
14,behaviour,wing_type,,factor,,,macropter; submacropter; brachypter; hyopter; parapter; apter,,,,,,,,
15,behaviour,speed,m/s,numeric,,,,,,,,,,,
16,behaviour,distribution_range,,factor,,,,,,,,,,,
17,behaviour,habitat_requirement,,factor,,,,,,,,,,,
18,behaviour,eusocial,,logical,,,,,,,,,,,
19,behaviour,dispersal_range,,factor,,,,,,,,,,,
20,behaviour,mobility_range,,numeric,,,,,,,,,,,
21,behaviour,habitat_specialisation,,factor,,,,,,,,,,,
22,behaviour,forest_species,,logical,,,,number of eggs in a clutch,,,,,,,
23,behaviour,grassland_species,,logical,,,,,,,,,,,
24,behaviour,grid_coverage,,numeric,,,,Number of grid geographic grid cells where the species is found,,,,,,,
25,behaviour,flight_ability,,logical,,,,,,,,,,,
26,behaviour,dispersal_mode,,factor,,,,,,,,,,,
27,behaviour,dispersal_ability,,factor,,,0;0.25;0.5;0.75;1,,,,,,,,
28,behaviour,micro_habitat,,factor,,,,,,,,,,,
29,behaviour,passive_dispersal,,logical,,,,,,,,,,,
30,behaviour,colony_founding,,factor,,,independent; dependent,,,,,,,,
31,behaviour,clustering,,factor,,,,,,,,,,,
32,behaviour,phenology,list of months,character,,,,semicolon separated months,,,,,,,
33,behaviour,activity_period,,character,,,, months from -- to,,,,,,,
34,behaviour,length_of_activity_period,[months],integer,,,,number of months of activity period,,,,,,,
35,behaviour,first_emergence,[date],integer,,,,first emergence in the year (month),,,,,,,
36,behaviour,last_observation,[date],integer,,,,last observation in the year (month),,,,,,,
37,behaviour,flight_period,month,character,,,,,,,,,,,
38,environment,substrate,,factor,,,,,,,,,,,
39,environment,oxygen_requirement,,numeric,,,,Required oxygen level in water,,,,,,,
40,environment,light_requirement,,factor,,,,,,,,,,,
41,environment,landuse_intensity,,numeric,,,,,,,,,,,
42,environment,humidity,,factor,,,,,,,,,,,
43,environment,ecology_type,,factor,,,,??,,,,,,,
44,environment,nature_orientation,,factor,,,,??,,,,,,,
45,environment,special_habitat,,factor,,,,??,,,,,,,
46,environment,climatic_range,,numeric,,,,number of climatic zones where the species occurs,,,,,,,
47,environment,substrate_guild,,factor,,,,,,,,,,,
48,environment,biotope,,factor,,,,,,,,,,,
49,environment,altitude,,factor,,,,,,,,,,,
50,feeding,stable_isotope_N, [delta per mill],numeric,,,,,,,,,,,
51,feeding,number_resources,,integer,,,,Number of resource species,,,,,,,
52,feeding,host_specialisation,,factor,,,,,,,,,,,
53,feeding,pflanzenbindung,,factor,,,,,,,,,,,
54,feeding,plants,,factor,,,,,,,,,,,
55,feeding,Beutebindung,,factor,,,,,,,,,,,
56,feeding,tongue_length,mm,numeric,,,,,,,,,,,
57,feeding,larval_feeding_breadth,,factor,,,,,,,,,,,
58,feeding,hunting_mode,,factor,,,net building; foraging; grazing,,,,,,,,
59,feeding,feeding_mode,,factor,,,extraintestinal; sucking; chewing,,,,,,,,
60,feeding,food_source,,factor,,,,,,,,,,,
61,feeding,diet,,character,,,,,,,,,,,
62,feeding,trophic_level,,numeric,,,,,,,,,,,
63,morphology,pronotum_lw_ratio,mm,numeric,,,,,,,,,,,
70,morphology,pronotum_length,mm,numeric,,,,,,,,,,,
64,life-history,social_structure,,factor,,,,single or more queens,,,,,,,
65,life-history,reproductive_mode,,factor,,,,,,,,,,,
66,life-history,generation_time,d,numeric,,,,,,,,,,,
67,life-history,nr_developmental_stages,,numeric,,,,,,,,,,,
68,life-history,mode_of_developmental_stages,,factor,,,,,,,,,,,
69,life-history,egg_development_time,,factor,,,,,,,,,,,
71,life-history,nest_habitat_specialisation,,factor,,,,,,,,,,,
72,life-history,hibernation,,factor,,,,,,,,,,,
73,life-history,egg_length,mm,numeric,,,,,,,,,,,
83,life-history,egg_width,mm,numeric,,,,,,,,,,,
74,life-history,egg_volume,mm3,numeric,,,,,,,,,,,
75,life-history,egg_weight,mg,numeric,,,,,,,,,,,
76,life-history,egg_biomass,mg,factor,,,,,,,,,,,
77,life-history,Egg_placement,,factor,,,,where eggs are placed (e.g. on the ground or  at vegetation),,,,,,,
78,life-history,clutch_size,,numeric,,,,,,,,,,,
79,life-history,nr_Ovariols,,numeric,,,,,,,,,,,
80,life-history,nr_eggs_per_clutch,,numeric,,,,,,,,,,,
81,life-history,number_eggs_per_year,,numeric,,,,,,,,,,,
82,morphology,wing_dimorphism,,factor,,,,,,,,,,,
84,morphology,elytra length,mm,numeric,,,,,,,,,,,
85,morphology,wing_area,mm2,numeric,,,,,,,,,,,
86,morphology,wing_length,mm,numeric,,,,,,,,,,,
87,morphology,wing_width,,numeric,,,,,,,,,,,
88,morphology,wing_appearance,,factor,,,,,,,,,,,
152,morphology,hind_wing_length,cm,numeric,,,,,,,,,,,
153,morphology,hind_wing_width,cm,numeric,,,,,,,,,,,
89,morphology,front_wing_length,cm,numeric,,,,,,,,,,,
90,morphology,front_wing_width,cm,numeric,,,,,,,,,,,
91,morphology,wing_span,mm,numeric,,,,,,,,,,,
92,morphology,thorax_length,mm,numeric,,,,,,,,,,,
93,morphology,thorax_width,mm,numeric,,,,,,,,,,,
94,morphology,rostrum_length,mm,numeric,,,,,,,,,,,
95,morphology,rostrum_width,mm,numeric,,,,,,,,,,,
96,morphology,rostrum_lw_ratio,,numeric,,,,,,,,,,,
97,morphology,femur_length,cm,numeric,,,,,,,,,,,
98,morphology,front_tibia_length,cm,numeric,,,,,,,,,,,
99,morphology,hind_leg_length,cm,numeric,,,,,,,,,,,
100,morphology,front_leg_length,cm,numeric,,,,,,,,,,,
101,morphology,relative_leg_length,cm,numeric,,,,,,,,,,,
102,morphology,front_femur_length,cm,numeric,,,,,,,,,,,
103,morphology,hind_femur_length,cm,numeric,,,,,,,,,,,
104,morphology,front_femur_width,cm,numeric,,,,,,,,,,,
105,morphology,hind_femur_width,cm,numeric,,,,,,,,,,,
106,morphology,front_tibia_length,cm,numeric,,,,,,,,,,,
107,morphology,mid_tibia_length,cm,numeric,,,,,,,,,,,
108,morphology,hind_tibia_length,cm,numeric,,,,,,,,,,,
109,morphology,head_width,cm,numeric,,,,,,,,,,,
110,morphology,intertegular_span,cm,numeric,,,,,,,,,,,
111,morphology,general_body_pubescence,,factor,,,,,,,,,,,
112,morphology,eye_width,cm,numeric,,,,,,,,,,,
113,morphology,eye_area,,numeric,,,,,,,,,,,
114,morphology,eye_number,,numeric,,,,,,,,,,,
115,morphology,max body length,,numeric,,,,,,,,,,,
116,morphology,min body length,,numeric,,,,,,,,,,,
117,morphology,body_width,mm,numeric,,,,,,,,,,,
118,morphology,body_height,mm,numeric,,,,,,,,,,,
119,morphology,body_mass,mg,numeric,,,,,,,,,,,
120,morphology,body_volume,mm3,numeric,,,,,,,,,,,
121,morphology,relative_body_size,,numeric,,,,length-width ratio (relative body size),,,,,,,
122,morphology,pronotum_width,mm,numeric,,,,,,,,,,,
123,morphology,size_class,,factor,,,,,,,,,,,
124,morphology,antenna type,,factor,,,,,,,,,,,
125,morphology,antenna_segment1_length,cm,numeric,,,,,,,,,,,
126,morphology,antenna_segment2_length,cm,numeric,,,,,,,,,,,
127,morphology,antenna_segment3_length,cm,numeric,,,,,,,,,,,
128,morphology,antenna_segment4_length,cm,numeric,,,,,,,,,,,
129,morphology,antenna_segment5_length,cm,numeric,,,,,,,,,,,
130,morphology,antenna_segment6_length,cm,numeric,,,,,,,,,,,
131,other,conservation_status,,factor,,,,,,,,,,,
132,physiology,larval_inundation_tolerance,,factor,,,,,,,,,,,
133,physiology,water_loss_rate,,numeric,,,,,,,,,,,
134,physiology,drought_resistance,,factor,,,,,,,,,,,
135,pollination,flower_visitor,,logical,,,,,,,,,,,
136,pollination,flower_color,,factor,,,,,,,,,,,
137,behaviour,macropter,,logical,,,,,,,,,,,
138,behaviour,submacropter,,logical,,,,,,,,,,,
139,behaviour,brachypter,,logical,,,,,,,,,,,
140,behaviour,apter,,logical,,,,,,,,,,,
141,behaviour,hyopter,,logical,,,,,,,,,,,
142,behaviour,eupter,,logical,,,,,,,,,,,
143,behaviour,parapter,,logical,,,,,,,,,,,
144,behaviour,deadwood_dependent,,logical,,,,,,,,,,,
145,behaviour,relict_species,,logical,,,,"if dependent on pre-anthropogenic conditions (e.g. ""Urwald-Reliktarten""",,,,,,,
146,behaviour,nest_sites,,factor,,,,,,,,,,,
147,behaviour,treehole_specialist,,logical,,,,,,,,,,,
148,behaviour,migrational_tendency,,,,,,parasite or mutualist hosts,,,,,,,
149,behaviour,hibernation_in_conifers,,logical,,,,,,,,,,,
150,environment,habitat_correlations,,factor,,,,,,,,,,,
151,environment,urwaldreliktart,,logical,,,,,,,,,,,
